"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 12 03:30:34 BRT 2022","Wed Oct 12 03:30:36 BRT 2022","1145","Querying","","","","","best practices - selecting elements",""
"passed","Wed Oct 12 03:28:16 BRT 2022","Wed Oct 12 03:28:16 BRT 2022","268","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Wed Oct 12 03:32:29 BRT 2022","Wed Oct 12 03:32:30 BRT 2022","451","Window","","","","","cy.title() - get the title",""
"passed","Wed Oct 12 03:30:49 BRT 2022","Wed Oct 12 03:30:50 BRT 2022","72","Spies, Stubs, and Clock","","","","","cy.stub() matches depending on arguments",""
"passed","Wed Oct 12 03:28:02 BRT 2022","Wed Oct 12 03:28:03 BRT 2022","285","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Wed Oct 12 03:31:05 BRT 2022","Wed Oct 12 03:31:06 BRT 2022","680","Traversal","","","","",".prevAll() - get all previous sibling DOM elements",""
"passed","Wed Oct 12 03:30:48 BRT 2022","Wed Oct 12 03:30:49 BRT 2022","479","Spies, Stubs, and Clock","","","","","cy.clock() - control time in the browser",""
"passed","Wed Oct 12 03:29:12 BRT 2022","Wed Oct 12 03:29:13 BRT 2022","1035","Location","","","","","cy.hash() - get the current URL hash",""
"passed","Wed Oct 12 03:31:05 BRT 2022","Wed Oct 12 03:31:05 BRT 2022","264","Traversal","","","","",".prev() - get previous sibling DOM element",""
"passed","Wed Oct 12 03:29:26 BRT 2022","Wed Oct 12 03:29:26 BRT 2022","724","Misc","","","","","cy.focused() - get the DOM element that has focus",""
"passed","Wed Oct 12 03:28:03 BRT 2022","Wed Oct 12 03:28:04 BRT 2022","285","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Wed Oct 12 03:31:00 BRT 2022","Wed Oct 12 03:31:01 BRT 2022","792","Traversal","","","","",".children() - get child DOM elements",""
"passed","Wed Oct 12 03:28:37 BRT 2022","Wed Oct 12 03:28:38 BRT 2022","753","Cypress.Commands","","","","",".add() - create a custom command",""
"passed","Wed Oct 12 03:29:39 BRT 2022","Wed Oct 12 03:29:47 BRT 2022","7419","Navigation","","","","","cy.go() - go back or forward in the browser's history",""
"passed","Wed Oct 12 03:29:30 BRT 2022","Wed Oct 12 03:29:30 BRT 2022","240","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Wed Oct 12 03:31:23 BRT 2022","Wed Oct 12 03:31:25 BRT 2022","1734","Utilities","","","","","Cypress.$ - call a jQuery method",""
"passed","Wed Oct 12 03:32:28 BRT 2022","Wed Oct 12 03:32:29 BRT 2022","1057","Window","","","","","cy.window() - get the global window object",""
"passed","Wed Oct 12 03:30:50 BRT 2022","Wed Oct 12 03:30:50 BRT 2022","89","Spies, Stubs, and Clock","","","","","matches call arguments using Sinon matchers",""
"passed","Wed Oct 12 03:29:47 BRT 2022","Wed Oct 12 03:29:49 BRT 2022","2608","Navigation","","","","","cy.reload() - reload the page",""
"passed","Wed Oct 12 03:30:48 BRT 2022","Wed Oct 12 03:30:48 BRT 2022","267","Spies, Stubs, and Clock","","","","","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Wed Oct 12 03:29:27 BRT 2022","Wed Oct 12 03:29:30 BRT 2022","2996","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Wed Oct 12 03:31:26 BRT 2022","Wed Oct 12 03:31:27 BRT 2022","433","Utilities","","","","","Cypress.minimatch - test out glob patterns against strings",""
"passed","Wed Oct 12 03:28:04 BRT 2022","Wed Oct 12 03:28:06 BRT 2022","1747","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Wed Oct 12 03:32:29 BRT 2022","Wed Oct 12 03:32:29 BRT 2022","332","Window","","","","","cy.document() - get the document object",""
"passed","Wed Oct 12 03:31:07 BRT 2022","Wed Oct 12 03:31:07 BRT 2022","645","Traversal","","","","",".siblings() - get all sibling DOM elements",""
"passed","Wed Oct 12 03:31:42 BRT 2022","Wed Oct 12 03:31:49 BRT 2022","6631","Viewport","","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Wed Oct 12 03:27:31 BRT 2022","Wed Oct 12 03:27:33 BRT 2022","2050","Actions","","","","",".select() - select an option in a <select> element",""
"passed","Wed Oct 12 03:28:16 BRT 2022","Wed Oct 12 03:28:17 BRT 2022","254","Connectors",".then()","","","","yields the original subject without return",""
"passed","Wed Oct 12 03:28:39 BRT 2022","Wed Oct 12 03:28:39 BRT 2022","212","Cypress.arch","","","","","Get CPU architecture name of underlying OS",""
"passed","Wed Oct 12 03:28:38 BRT 2022","Wed Oct 12 03:28:39 BRT 2022","160","Cypress.Cookies","","","","",".defaults() - set defaults for all cookies",""
"passed","Wed Oct 12 03:28:26 BRT 2022","Wed Oct 12 03:28:27 BRT 2022","637","Cookies","","","","","cy.getCookies() - get browser cookies",""
"passed","Wed Oct 12 03:28:52 BRT 2022","Wed Oct 12 03:28:53 BRT 2022","593","Files","","","","","cy.writeFile() - write to a file",""
"passed","Wed Oct 12 03:31:02 BRT 2022","Wed Oct 12 03:31:03 BRT 2022","544","Traversal","","","","",".last() - get last DOM element",""
"passed","Wed Oct 12 03:30:32 BRT 2022","Wed Oct 12 03:30:33 BRT 2022","1573","Querying","","","","","cy.get() - query DOM elements",""
"passed","Wed Oct 12 03:32:09 BRT 2022","Wed Oct 12 03:32:11 BRT 2022","2485","Waiting","","","","","cy.wait() - wait for a specific route",""
"passed","Wed Oct 12 03:28:40 BRT 2022","Wed Oct 12 03:28:40 BRT 2022","278","Cypress.env()","","","","","Get environment variables",""
"passed","Wed Oct 12 03:31:01 BRT 2022","Wed Oct 12 03:31:01 BRT 2022","283","Traversal","","","","",".filter() - get DOM elements that match the selector",""
"passed","Wed Oct 12 03:32:58 BRT 2022","Wed Oct 12 03:33:01 BRT 2022","2642","should be test correctly","","","","","should be denie insert",""
"passed","Wed Oct 12 03:32:46 BRT 2022","Wed Oct 12 03:32:51 BRT 2022","4785","should be test correctly","","","","","should be run ok",""
"passed","Wed Oct 12 03:31:01 BRT 2022","Wed Oct 12 03:31:02 BRT 2022","344","Traversal","","","","",".find() - get descendant DOM elements of the selector",""
"passed","Wed Oct 12 03:28:00 BRT 2022","Wed Oct 12 03:28:01 BRT 2022","1121","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Wed Oct 12 03:31:21 BRT 2022","Wed Oct 12 03:31:23 BRT 2022","2122","Utilities","","","","","Cypress._ - call a lodash method",""
"passed","Wed Oct 12 03:28:02 BRT 2022","Wed Oct 12 03:28:02 BRT 2022","349","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
